Numero;Nro_placa;Ruta_autorizada
1;Z1J-534;Puno - Ilave y viceversa.
1;Z8D-962;Puno - Ilave y viceversa.
1;C8N-954;Puno - Ilave y viceversa.
1;Z0R-968;Puno - Ilave y viceversa.
1;D3B-416;Puno - Ilave y viceversa.
1;Z7R-958;Puno - Ilave y viceversa.
2;C3P-410;Ambo – Mati Grande y viceversa
3;W2N-570;Ambo – Mati Grande y viceversa
4;F7M-565;Ambo – San Rafael  y viceversa
5;Z9Q-950;Puno - Ilave y viceversa.
5;Z8S-968;Puno - Ilave y viceversa.
5;Z9A-953;Puno - Ilave y viceversa.
5;Z6D-956;Puno - Ilave y viceversa.
5;Z3A-961;Puno - Ilave y viceversa.
5;Z7V-964;Puno - Ilave y viceversa.
5;A1B-759;Puno - Ilave y viceversa.
5;Z2J-373;Puno - Ilave y viceversa.
5;V8E-963;Puno - Ilave y viceversa.
5;X3H-969;Puno - Ilave y viceversa.
5;V2K-957;Puno - Ilave y viceversa.
5;V2K-967;Puno - Ilave y viceversa.
5;Z0B-965;Puno - Ilave y viceversa.
5;B7A-264;Puno - Ilave y viceversa.
5;D7S-363;Puno - Ilave y viceversa.
5;X4T-961;Puno - Ilave y viceversa.
5;T4G-959;Puno - Ilave y viceversa.
5;Z8Y-963;Puno - Ilave y viceversa.
5;X3D-965;Puno - Ilave y viceversa.
5;A3S-748;Puno - Ilave y viceversa.
5;Z3Q-966;Puno - Ilave y viceversa.
5;V3C-288;Puno - Ilave y viceversa.
5;Z9J-965;Puno - Ilave y viceversa.
6;C3P-410;Ambo – Mati Grande y viceversa
7;BFM-019;Ambo – Mati Grande y viceversa
8;ZAG-964;Puno - Ilave y viceversa
8;Z8R-950;Puno - Ilave y viceversa
8;Z1T-953;Puno - Ilave y viceversa
8;X1R-787;Puno - Ilave y viceversa
8;X1P-956;Puno - Ilave y viceversa
8;Z1P-966;Puno - Ilave y viceversa
8;X1Q-707;Puno - Ilave y viceversa
8;V1K-765;Puno - Ilave y viceversa
8;Z1F-969;Puno - Ilave y viceversa
8;X1C-964;Puno - Ilave y viceversa
8;Z3A-955;Puno - Ilave y viceversa
8;V3O-950;Puno - Ilave y viceversa
8;Z7X-957;Puno - Ilave y viceversa
8;Z3B-951;Puno - Ilave y viceversa
8;Z6N-964;Puno - Ilave y viceversa
8;X1D-731;Puno - Ilave y viceversa
8;X1X-766;Puno - Ilave y viceversa
8;D6V-058;Puno - Ilave y viceversa
8;Z5T-953;Puno - Ilave y viceversa
8;Z6S-965;Puno - Ilave y viceversa
8;V4R-952;Puno - Ilave y viceversa
8;Z6S-966;Puno - Ilave y viceversa
8;Z1P-952;Puno - Ilave y viceversa
8;V0C-967;Puno - Ilave y viceversa
9;X1P-055;Desvío Huaytara – Comunidad de Ccarhuaccpampa y viceversa
10;F2L-193;Anexo Puntayacu – Desvío San Ramón, y viceversa
11;D7X-637;Unguymarán – Ambo - San Rafael y Viceversa
11;A3U-633;Unguymarán – Ambo - San Rafael y Viceversa
12;Y1N-475;Desvio Huaytara - Comunidad de Ccarhuaccpampa y viceversa
13;AAD-947;Puno - Juli y viceversa
13;V6U-951;Puno - Juli y viceversa
13;Z9N-952;Puno - Juli y viceversa
13;ZBL-955;Puno - Juli y viceversa
13;Z3H-963;Puno - Juli y viceversa
13;Z4Q-702;Puno - Juli y viceversa
13;A3Q-750;Puno - Juli y viceversa
13;X5A-953;Puno - Juli y viceversa
13;X8O-952;Puno - Juli y viceversa
13;C6U-964;Puno - Juli y viceversa
14;X3W-961;Puno - Juli y viceversa
14;Z7Q-954;Puno - Juli y viceversa
14;Z9T-960;Puno - Juli y viceversa
14;Z3N-955;Puno - Juli y viceversa
14;Z9C-955;Puno - Juli y viceversa
14;X2C-775;Puno - Juli y viceversa
14;Z4U-279;Puno - Juli y viceversa
14;Z8H-951;Puno - Juli y viceversa
14;A0Z-967;Puno - Juli y viceversa
14;ZBL-956;Puno - Juli y viceversa
14;VBP-969;Puno - Juli y viceversa
14;ZCC-951;Puno - Juli y viceversa
14;VDC-967;Puno - Juli y viceversa
14;X8J-964;Puno - Juli y viceversa
14;D1G-965;Puno - Juli y viceversa
15;M4V-962;Puno - Ilave y viceversa
15;D2V-030;Puno - Ilave y viceversa
15;B2A-967;Puno - Ilave y viceversa
15;X2V-744;Puno - Ilave y viceversa
16;W2P-683;EMPRESA DE TRANSPORTES LOS INVENCIBLES S.A.
16;D1V-483;EMPRESA DE TRANSPORTES LOS INVENCIBLES S.A.
16;W2O-670;EMPRESA DE TRANSPORTES LOS INVENCIBLES S.A.
16;F8H-185;EMPRESA DE TRANSPORTES LOS INVENCIBLES S.A.
16;B6T-695;EMPRESA DE TRANSPORTES LOS INVENCIBLES S.A.
16;W1K-488;EMPRESA DE TRANSPORTES LOS INVENCIBLES S.A.
16;W2E-422;EMPRESA DE TRANSPORTES LOS INVENCIBLES S.A.
16;W1H-019;EMPRESA DE TRANSPORTES LOS INVENCIBLES S.A.
16;A7C-689;EMPRESA DE TRANSPORTES LOS INVENCIBLES S.A.
16;W3W-694;EMPRESA DE TRANSPORTES LOS INVENCIBLES S.A.
16;F6J-501;EMPRESA DE TRANSPORTES LOS INVENCIBLES S.A.
16;C0M-630;EMPRESA DE TRANSPORTES LOS INVENCIBLES S.A.
16;W2V-254;EMPRESA DE TRANSPORTES LOS INVENCIBLES S.A.
17;BNG-411;Ambo Mati Grande y viceversa
18;V0C-957;Puno - Ilave y viceversa 
18;Z6H-701;Puno - Ilave y viceversa 
19;ALS-865;Ayaviri - Juliaca Subtramo: Ayaviri-Desvio Azangaro y viceversa
19;XBA-958;Ayaviri - Juliaca Subtramo: Ayaviri-Desvio Azangaro y viceversa
19;Z4U-293;Ayaviri - Juliaca Subtramo: Ayaviri-Desvio Azangaro y viceversa
